,image_id,given_label,guess_label,is_noisy,max_prob
0,1000015157.jpg,0,0,False,0.6910833716392517
1,1000201771.jpg,3,3,False,0.9912468194961548
2,100042118.jpg,1,4,True,0.9292101263999939
3,1000723321.jpg,1,1,False,0.9945275187492371
4,1000812911.jpg,3,3,False,0.9917069673538208
5,1000837476.jpg,3,3,False,0.9539929628372192
6,1000910826.jpg,2,2,False,0.987321138381958
7,1001320321.jpg,0,0,False,0.7949804067611694
8,1001723730.jpg,4,0,True,0.8138074278831482
9,1001742395.jpg,3,3,False,0.9869686961174011
10,1001749118.jpg,3,3,False,0.9828876256942749
11,100204014.jpg,3,3,False,0.9748098254203796
12,1002088496.jpg,1,1,False,0.9969579577445984
13,1002255315.jpg,3,3,False,0.9848620891571045
14,1002394761.jpg,3,3,False,0.9876910448074341
15,1003218714.jpg,2,2,False,0.6598252058029175
16,1003298598.jpg,3,3,False,0.9917590618133545
17,1003442061.jpg,4,4,False,0.9781292676925659
18,1003888281.jpg,0,4,True,0.8101746439933777
19,1003987001.jpg,3,3,False,0.9865491390228271
20,1004105566.jpg,3,3,False,0.990357518196106
21,1004163647.jpg,3,3,False,0.9833487272262573
22,1004389140.jpg,1,1,False,0.9999999403953552
23,1004672608.jpg,3,3,False,0.9148992896080017
24,100472565.jpg,2,2,False,0.9981953501701355
25,1004826518.jpg,2,2,False,0.6982095241546631
26,1004881261.jpg,3,3,False,0.9693285822868347
27,1005138819.jpg,3,3,False,0.993018627166748
28,1005200906.jpg,2,2,False,0.5170051455497742
29,100533489.jpg,2,1,True,0.8821520209312439
30,100560400.jpg,4,4,False,0.9726812839508057
31,1005695738.jpg,3,3,False,0.955001711845398
32,1005739807.jpg,3,3,False,0.9578220844268799
33,100609661.jpg,3,3,False,0.980679988861084
34,1007196516.jpg,3,3,False,0.9577770233154297
35,1007246985.jpg,3,3,False,0.9816903471946716
36,100731318.jpg,3,3,False,0.965888261795044
37,1007533812.jpg,3,3,False,0.988399863243103
38,1007700625.jpg,3,3,False,0.9772874712944031
39,1007891044.jpg,3,3,False,0.9819784164428711
40,1008126487.jpg,3,3,False,0.9933125376701355
41,1008142548.jpg,1,2,True,0.736703097820282
42,1008244905.jpg,1,1,False,0.683739185333252
43,1008284502.jpg,3,3,False,0.9702359437942505
44,1008532311.jpg,3,3,False,0.9759196639060974
45,1009037539.jpg,3,3,False,0.9860460162162781
46,1009049118.jpg,3,3,False,0.9923099279403687
47,1009126931.jpg,4,4,False,0.6606294512748718
48,1009148537.jpg,1,1,False,0.9930981993675232
49,1009268848.jpg,3,3,False,0.9769200086593628
50,1009322597.jpg,3,3,False,0.9227539896965027
51,1009361983.jpg,3,3,False,0.9566725492477417
52,1009431532.jpg,2,2,False,0.9977227449417114
53,1009441020.jpg,3,3,False,0.9809931516647339
54,1009462599.jpg,3,3,False,0.9863667488098145
55,1009489704.jpg,3,3,False,0.9726831316947937
56,1009495847.jpg,3,3,False,0.9795064926147461
57,1009704586.jpg,3,3,False,0.971961498260498
58,1009749557.jpg,2,2,False,0.9039019346237183
59,1009845426.jpg,3,3,False,0.992776095867157
60,1010470173.jpg,1,1,False,0.9999011754989624
61,1010648150.jpg,3,3,False,0.4030730128288269
